taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
fuvar{azonosito=5400, indulas_idopont='2016-12-16 08:45:00', idotartam=300, tavolsag=0.0, viteldij=5.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=2538, indulas_idopont='2016-12-31 17:15:00', idotartam=540, tavolsag=0.0, viteldij=6.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=5856, indulas_idopont='2016-12-29 18:45:00', idotartam=300, tavolsag=0.0, viteldij=5.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3449, indulas_idopont='2016-12-02 17:15:00', idotartam=60, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1098, indulas_idopont='2016-12-30 12:45:00', idotartam=660, tavolsag=0.0, viteldij=14.5, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3514, indulas_idopont='2016-12-09 09:15:00', idotartam=600, tavolsag=0.0, viteldij=10.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2643, indulas_idopont='2016-12-01 23:45:00', idotartam=180, tavolsag=0.0, viteldij=4.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4359, indulas_idopont='2016-12-13 19:00:00', idotartam=780, tavolsag=0.0, viteldij=7.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=5114, indulas_idopont='2016-12-13 18:15:00', idotartam=5100, tavolsag=0.0, viteldij=48.75, borravalo=6.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3465, indulas_idopont='2016-12-30 12:45:00', idotartam=240, tavolsag=0.0, viteldij=5.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8397, indulas_idopont='2016-12-15 14:00:00', idotartam=335, tavolsag=0.0, viteldij=5.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2643, indulas_idopont='2016-12-07 17:30:00', idotartam=3540, tavolsag=0.0, viteldij=42.75, borravalo=6.0, fizetes_modja='bankkártya'}
fuvar{azonosito=4849, indulas_idopont='2016-12-07 12:00:00', idotartam=60, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2819, indulas_idopont='2016-12-26 22:15:00', idotartam=240, tavolsag=0.0, viteldij=5.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1587, indulas_idopont='2016-12-17 21:00:00', idotartam=2220, tavolsag=0.0, viteldij=44.5, borravalo=5.0, fizetes_modja='bankkártya'}
fuvar{azonosito=4638, indulas_idopont='2016-12-21 23:00:00', idotartam=600, tavolsag=0.0, viteldij=8.75, borravalo=3.0, fizetes_modja='bankkártya'}
fuvar{azonosito=5659, indulas_idopont='2016-12-04 02:00:00', idotartam=120, tavolsag=0.0, viteldij=4.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4531, indulas_idopont='2016-12-01 21:15:00', idotartam=540, tavolsag=0.0, viteldij=7.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1262, indulas_idopont='2016-12-15 10:00:00', idotartam=240, tavolsag=0.0, viteldij=5.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=53, indulas_idopont='2016-12-18 01:15:00', idotartam=300, tavolsag=0.0, viteldij=5.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6923, indulas_idopont='2016-12-20 17:00:00', idotartam=240, tavolsag=0.0, viteldij=4.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1901, indulas_idopont='2016-12-09 15:15:00', idotartam=840, tavolsag=0.0, viteldij=9.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1098, indulas_idopont='2016-12-04 15:45:00', idotartam=600, tavolsag=0.0, viteldij=9.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4870, indulas_idopont='2016-12-13 20:15:00', idotartam=120, tavolsag=0.0, viteldij=3.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=7810, indulas_idopont='2016-12-17 13:15:00', idotartam=60, tavolsag=0.0, viteldij=0.01, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4770, indulas_idopont='2016-12-13 17:45:00', idotartam=600, tavolsag=0.0, viteldij=11.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=5475, indulas_idopont='2016-12-20 18:00:00', idotartam=300, tavolsag=0.0, viteldij=5.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2121, indulas_idopont='2016-12-22 14:15:00', idotartam=420, tavolsag=0.0, viteldij=6.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=2066, indulas_idopont='2016-12-15 20:30:00', idotartam=240, tavolsag=0.0, viteldij=6.0, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=6749, indulas_idopont='2016-12-14 16:15:00', idotartam=360, tavolsag=0.0, viteldij=6.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=5114, indulas_idopont='2016-12-20 19:30:00', idotartam=2040, tavolsag=0.0, viteldij=32.25, borravalo=8.05, fizetes_modja='bankkártya'}
fuvar{azonosito=1347, indulas_idopont='2016-12-15 05:00:00', idotartam=60, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2901, indulas_idopont='2016-12-06 20:45:00', idotartam=1200, tavolsag=0.0, viteldij=27.5, borravalo=8.25, fizetes_modja='bankkártya'}
fuvar{azonosito=4107, indulas_idopont='2016-12-13 16:00:00', idotartam=180, tavolsag=0.0, viteldij=5.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8232, indulas_idopont='2016-12-23 00:30:00', idotartam=540, tavolsag=0.0, viteldij=12.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=5475, indulas_idopont='2016-12-07 10:45:00', idotartam=240, tavolsag=0.0, viteldij=5.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6902, indulas_idopont='2016-12-20 02:45:00', idotartam=300, tavolsag=0.0, viteldij=6.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=50, indulas_idopont='2016-12-09 16:15:00', idotartam=300, tavolsag=0.0, viteldij=5.5, borravalo=3.0, fizetes_modja='bankkártya'}
fuvar{azonosito=5029, indulas_idopont='2016-12-08 19:00:00', idotartam=660, tavolsag=0.0, viteldij=7.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=5406, indulas_idopont='2016-12-23 09:30:00', idotartam=360, tavolsag=0.0, viteldij=6.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4119, indulas_idopont='2016-12-31 19:45:00', idotartam=1440, tavolsag=0.0, viteldij=18.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8232, indulas_idopont='2016-12-22 13:00:00', idotartam=840, tavolsag=0.0, viteldij=14.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3684, indulas_idopont='2016-12-07 22:45:00', idotartam=180, tavolsag=0.0, viteldij=5.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4044, indulas_idopont='2016-12-02 13:45:00', idotartam=960, tavolsag=0.0, viteldij=11.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8648, indulas_idopont='2016-12-16 14:45:00', idotartam=2160, tavolsag=0.0, viteldij=27.75, borravalo=4.0, fizetes_modja='bankkártya'}
fuvar{azonosito=1750, indulas_idopont='2016-12-08 13:15:00', idotartam=60, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6744, indulas_idopont='2016-12-16 13:00:00', idotartam=420, tavolsag=0.0, viteldij=6.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=5636, indulas_idopont='2016-12-16 00:30:00', idotartam=660, tavolsag=0.0, viteldij=8.0, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=7643, indulas_idopont='2016-12-30 17:00:00', idotartam=240, tavolsag=0.0, viteldij=5.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4770, indulas_idopont='2016-12-03 19:15:00', idotartam=900, tavolsag=0.0, viteldij=14.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8648, indulas_idopont='2016-12-13 11:15:00', idotartam=1020, tavolsag=0.0, viteldij=11.0, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=548, indulas_idopont='2016-12-16 09:30:00', idotartam=360, tavolsag=0.0, viteldij=6.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4611, indulas_idopont='2016-12-02 19:00:00', idotartam=600, tavolsag=0.0, viteldij=7.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8546, indulas_idopont='2016-12-13 18:00:00', idotartam=540, tavolsag=0.0, viteldij=6.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=760, indulas_idopont='2016-12-09 14:30:00', idotartam=720, tavolsag=0.0, viteldij=19.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4653, indulas_idopont='2016-12-19 16:15:00', idotartam=600, tavolsag=0.0, viteldij=7.5, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=8661, indulas_idopont='2016-12-14 18:30:00', idotartam=60, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=710, indulas_idopont='2016-12-01 21:45:00', idotartam=360, tavolsag=0.0, viteldij=6.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8016, indulas_idopont='2016-12-23 17:15:00', idotartam=240, tavolsag=0.0, viteldij=4.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3014, indulas_idopont='2016-12-17 16:45:00', idotartam=420, tavolsag=0.0, viteldij=5.75, borravalo=4.0, fizetes_modja='bankkártya'}
fuvar{azonosito=1901, indulas_idopont='2016-12-05 09:00:00', idotartam=240, tavolsag=0.0, viteldij=4.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3238, indulas_idopont='2016-12-16 18:00:00', idotartam=1140, tavolsag=0.0, viteldij=9.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=3862, indulas_idopont='2016-12-13 19:00:00', idotartam=420, tavolsag=0.0, viteldij=6.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8022, indulas_idopont='2016-12-22 17:45:00', idotartam=780, tavolsag=0.0, viteldij=9.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6086, indulas_idopont='2016-12-23 13:30:00', idotartam=1080, tavolsag=0.0, viteldij=11.5, borravalo=3.75, fizetes_modja='bankkártya'}
fuvar{azonosito=1385, indulas_idopont='2016-12-17 15:30:00', idotartam=1980, tavolsag=0.0, viteldij=21.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1030, indulas_idopont='2016-12-05 09:30:00', idotartam=180, tavolsag=0.0, viteldij=4.75, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=6830, indulas_idopont='2016-12-16 19:00:00', idotartam=60, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2421, indulas_idopont='2016-12-11 00:15:00', idotartam=60, tavolsag=0.0, viteldij=3.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=2877, indulas_idopont='2016-12-13 12:00:00', idotartam=600, tavolsag=0.0, viteldij=8.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6317, indulas_idopont='2016-12-13 10:45:00', idotartam=300, tavolsag=0.0, viteldij=5.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=1110, indulas_idopont='2016-12-27 18:00:00', idotartam=360, tavolsag=0.0, viteldij=5.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6923, indulas_idopont='2016-12-23 11:30:00', idotartam=420, tavolsag=0.0, viteldij=7.5, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=1736, indulas_idopont='2016-12-19 20:30:00', idotartam=180, tavolsag=0.0, viteldij=4.5, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=6552, indulas_idopont='2016-12-08 13:00:00', idotartam=1980, tavolsag=0.0, viteldij=45.75, borravalo=9.15, fizetes_modja='bankkártya'}
fuvar{azonosito=7596, indulas_idopont='2016-12-06 19:30:00', idotartam=2520, tavolsag=0.0, viteldij=50.25, borravalo=12.45, fizetes_modja='bankkártya'}
fuvar{azonosito=973, indulas_idopont='2016-12-10 23:00:00', idotartam=60, tavolsag=0.0, viteldij=3.5, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4092, indulas_idopont='2016-12-22 23:30:00', idotartam=240, tavolsag=0.0, viteldij=5.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3209, indulas_idopont='2016-12-18 05:30:00', idotartam=660, tavolsag=0.0, viteldij=10.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=7011, indulas_idopont='2016-12-03 16:30:00', idotartam=1260, tavolsag=0.0, viteldij=13.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=6513, indulas_idopont='2016-12-31 01:00:00', idotartam=240, tavolsag=0.0, viteldij=5.25, borravalo=4.0, fizetes_modja='bankkártya'}
fuvar{azonosito=2863, indulas_idopont='2016-12-02 07:45:00', idotartam=360, tavolsag=0.0, viteldij=6.75, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3089, indulas_idopont='2016-12-19 02:30:00', idotartam=240, tavolsag=0.0, viteldij=6.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3514, indulas_idopont='2016-12-26 19:45:00', idotartam=420, tavolsag=0.0, viteldij=7.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8117, indulas_idopont='2016-12-17 22:30:00', idotartam=600, tavolsag=0.0, viteldij=7.0, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=7210, indulas_idopont='2016-12-16 08:00:00', idotartam=360, tavolsag=0.0, viteldij=5.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=8016, indulas_idopont='2016-12-14 18:30:00', idotartam=1140, tavolsag=0.0, viteldij=13.75, borravalo=2.95, fizetes_modja='bankkártya'}
fuvar{azonosito=3514, indulas_idopont='2016-12-10 20:45:00', idotartam=240, tavolsag=0.0, viteldij=4.75, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=4111, indulas_idopont='2016-12-07 18:00:00', idotartam=1140, tavolsag=0.0, viteldij=11.0, borravalo=3.3, fizetes_modja='bankkártya'}
fuvar{azonosito=5357, indulas_idopont='2016-12-22 01:30:00', idotartam=660, tavolsag=0.0, viteldij=10.5, borravalo=1.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3017, indulas_idopont='2016-12-21 14:45:00', idotartam=120, tavolsag=0.0, viteldij=4.5, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=505, indulas_idopont='2016-12-26 22:15:00', idotartam=600, tavolsag=0.0, viteldij=9.25, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=3588, indulas_idopont='2016-12-08 13:30:00', idotartam=300, tavolsag=0.0, viteldij=5.75, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=772, indulas_idopont='2016-12-06 19:45:00', idotartam=21, tavolsag=0.0, viteldij=3.25, borravalo=0.0, fizetes_modja='bankkártya'}
fuvar{azonosito=1827, indulas_idopont='2016-12-03 15:45:00', idotartam=360, tavolsag=0.0, viteldij=6.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=451, indulas_idopont='2016-12-21 21:00:00', idotartam=420, tavolsag=0.0, viteldij=6.75, borravalo=2.0, fizetes_modja='bankkártya'}
fuvar{azonosito=7066, indulas_idopont='2016-12-09 23:30:00', idotartam=900, tavolsag=0.0, viteldij=14.25, borravalo=0.0, fizetes_modja='készpénz'}
fuvar{azonosito=5426, indulas_idopont='2016-12-08 16:00:00', idotartam=2640, tavolsag=0.0, viteldij=42.75, borravalo=9.35, fizetes_modja='bankkártya'}
fuvar{azonosito=3356, indulas_idopont='2016-12-16 22:00:00', idotartam=660, tavolsag=0.0, viteldij=14.25, borravalo=0.0, fizetes_modja='készpénz'}
